country_id,indicator_id,Year,Value,Gender
3,5,1992,26628568,
3,5,1993,27277048,
3,5,1994,27887279,
3,5,1995,28470191,
3,5,1996,29033044,
3,5,1997,29579301,
3,5,1998,30054133,
3,5,1999,30474354,
3,5,2000,30903893,
3,5,2001,31331221,
3,5,2002,31750835,
3,5,2003,32175818,
3,5,2004,32628286,
3,5,2005,33109249,
3,5,2006,33623506,
3,5,2007,34189416,
3,5,2008,34816961,
3,5,2009,35490445,
3,5,2010,36188236,
3,5,2011,36903376,
3,5,2012,37646166,
3,5,2013,38414171,
3,5,2014,39205031,
3,5,2015,40019529,
3,5,2016,40850721,
3,5,2017,41689299,
3,5,2018,42505035,
3,5,2019,43294546,
3,5,2020,44042091,
3,5,2021,44761099,
3,5,2022,45477389,
3,5,2023,46164219,
3,6,1990,6711330,
3,6,1991,6973188,
3,6,1992,7194753,
3,6,1993,7426481,
3,6,1994,7671789,
3,6,1995,7906356,
3,6,1996,8153158,
3,6,1997,8366812,
3,6,1998,8588043,
3,6,1999,8827940,
3,6,2000,9068833,
3,6,2001,9306534,
3,6,2002,9533572,
3,6,2003,9752688,
3,6,2004,9975430,
3,6,2005,10190322,
3,6,2006,10410056,
3,6,2007,10632096,
3,6,2008,10866131,
3,6,2009,11105183,
3,6,2010,11421278,
3,6,2011,11586989,
3,6,2012,11731223,
3,6,2013,11845414,
3,6,2014,11933136,
3,6,2015,12055583,
3,6,2016,12189762,
3,6,2017,12357590,
3,6,2018,12514356,
3,6,2019,12667017,
3,6,2020,12046917,
3,6,2021,12323177,
3,6,2022,13020342,
3,6,2023,13174228,
3,6,2024,13294279,
3,7,1970,6.599999999,
3,7,1971,2.626641651,
3,7,1972,3.65630713,
3,7,1973,6.172839506,
3,7,1974,4.699612403,
3,7,1975,8.230316653,
3,7,1976,9.430735402,
3,7,1977,11.98928332,
3,7,1978,17.52392345,
3,7,1979,11.34860051,
3,7,1980,9.517824498,
3,7,1981,14.65484264,
3,7,1982,6.54250963,
3,7,1983,5.96716393,
3,7,1984,8.116397955,
3,7,1985,10.48228704,
3,7,1986,12.37160917,
3,7,1987,7.441260913,
3,7,1988,5.911544964,
3,7,1989,9.304361258,
3,7,1990,16.65253439,
3,7,1991,25.88638693,
3,7,1992,31.66966191,
3,7,1993,20.54032612,
3,7,1994,29.04765612,
3,7,1995,29.77962649,
3,7,1996,18.67907586,
3,7,1997,5.733522754,
3,7,1998,4.950161638,
3,7,1999,2.645511134,
3,7,2000,0.339163189,
3,7,2001,4.225988349,
3,7,2002,1.418301923,
3,7,2003,4.268953958,
3,7,2004,3.961800303,
3,7,2005,1.382446567,
3,7,2006,2.311499185,
3,7,2007,3.678995747,
3,7,2008,4.858590628,
3,7,2009,5.737060361,
3,7,2010,3.911061955,
3,7,2011,4.524211505,
3,7,2012,8.891450911,
3,7,2013,3.25423911,
3,7,2014,2.916926921,
3,7,2015,4.784447007,
3,7,2016,6.397694803,
3,7,2017,5.59111591,
3,7,2018,4.269990205,
3,7,2019,1.951768211,
3,7,2020,2.415130941,
3,7,2021,7.226063074,
3,7,2022,9.265515516,
3,7,2023,9.322173759,
3,7,2024,4.046114553,
3,8,1995,31.84000015,
3,8,1996,28.58499908,
3,8,1997,25.43000031,
3,8,1998,26.80200005,
3,8,1999,28.36499977,
3,8,2000,29.77000046,
3,8,2001,27.29999924,
3,8,2002,25.89999962,
3,8,2003,23.71999931,
3,8,2004,17.64999962,
3,8,2005,15.27000046,
3,8,2006,12.27000046,
3,8,2007,13.78999996,
3,8,2008,11.32999992,
3,8,2009,10.15999985,
3,8,2010,9.960000038,
3,8,2011,9.960000038,
3,8,2012,10.97000027,
3,8,2013,9.819999695,
3,8,2014,10.20699978,
3,8,2015,11.20600033,
3,8,2016,10.20199966,
3,8,2017,11.99600029,
3,8,2018,11.88199997,
3,8,2019,11.70400047,
4,1,2002,512000000,
4,1,2003,524000000,
4,1,2004,509000000,
4,1,2005,500000000,
4,1,2006,493000000,
4,1,2007,518000000,
4,1,2008,560000000,
4,1,2009,675000000,
4,1,2010,573000000,
4,1,2011,570000000,
4,1,2012,640000000,
4,1,2013,638000000,
4,1,2014,643000000,
4,1,2015,673000000,
4,1,2016,671000000,
4,1,2017,612000000,
4,1,2018,639000000,
4,1,2019,647000000,
4,1,2020,721000000,
4,1,2021,750000000,
4,1,2022,871000000,
4,5,1960,20133,
4,5,1961,20666,
4,5,1962,21298,
4,5,1963,21966,
4,5,1964,22673,
4,5,1965,23406,
4,5,1966,24136,
4,5,1967,24863,
4,5,1968,25614,
4,5,1969,26375,
4,5,1970,27026,
4,5,1971,27533,
4,5,1972,27995,
4,5,1973,28436,
4,5,1974,28875,
4,5,1975,29390,
4,5,1976,29959,
4,5,1977,30521,
4,5,1978,31076,
4,5,1979,31611,
4,5,1980,32403,
4,5,1981,33584,
4,5,1982,34909,
4,5,1983,36271,
4,5,1984,37667,
4,5,1985,39103,
4,5,1986,40571,
4,5,1987,42072,
4,5,1988,43615,
4,5,1989,45191,
4,5,1990,46640,
4,5,1991,47882,
4,5,1992,49038,
4,5,1993,50159,
4,5,1994,51251,
4,5,1995,52316,
4,5,1996,53353,
4,5,1997,54362,
4,5,1998,55334,
4,5,1999,56248,
4,5,2000,56855,
4,5,2001,57053,
4,5,2002,57062,
4,5,2003,56971,
4,5,2004,56818,
4,5,2005,56617,
4,5,2006,56374,
4,5,2007,56113,
